source_relative_path,source_group,candidate_id,center_x,center_y,area,bbox_x,bbox_y,bbox_width,bbox_height,max_radius,mean_gray,touches_border,strength,marker_score,marker_scale_radius,marker_mask_radius,marker_source
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,3,1462,719,24,1439,696,24,24,29.163,91.750,no,strong,0.497149,18.000,29.163,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,4,1646,112,12018,1590,7,118,216,45.553,101.734,no,strong,0.479929,18.000,37.575,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,5,1335,669,20,1316,650,20,20,25.969,82.350,no,strong,0.407480,24.000,25.969,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,6,1317,605,5,1317,605,5,5,27.788,48.600,no,strong,0.405688,18.000,27.788,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,7,1366,614,14,1365,610,5,5,31.000,67.571,no,strong,0.393569,18.000,31.000,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,8,1295,443,30683,1195,338,306,200,63.753,100.482,no,strong,0.362660,18.000,47.578,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,9,1749,225,13,1749,213,13,13,14.984,109.769,no,strong,0.346778,18.000,14.984,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,10,1377,748,17,1361,732,17,17,21.575,92.471,no,strong,0.307287,36.000,21.575,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,11,1424,574,13,1412,574,13,13,29.363,144.231,no,strong,0.306761,18.000,29.363,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,12,1695,37,2514,1653,0,70,61,24.769,100.744,yes,strong,0.303936,18.000,21.772,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,13,965,429,15211,861,312,195,168,44.544,61.055,no,strong,0.299635,18.000,32.200,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,14,1512,305,575,1512,292,37,35,18.781,74.325,no,strong,0.286348,18.000,18.781,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,15,1638,193,9,1630,193,9,9,10.791,104.000,no,strong,0.274451,18.000,10.791,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,16,1437,645,58516,1275,526,335,258,72.175,100.723,no,strong,0.266497,18.000,36.981,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,17,1456,345,9635,1397,248,129,137,39.575,116.381,no,strong,0.265438,42.000,32.200,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,18,1338,471,16,1338,471,16,16,21.775,111.688,no,strong,0.261867,18.000,21.775,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,19,1758,281,3798,1728,209,70,92,22.184,101.877,no,strong,0.259596,18.000,18.000,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,20,1792,356,15464,1732,284,124,213,45.544,144.173,no,strong,0.256061,18.000,27.763,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,21,1507,616,12,1507,605,12,12,31.166,185.333,no,strong,0.255440,18.000,31.166,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,22,1352,400,10,1343,391,10,10,28.772,45.300,no,strong,0.253721,18.000,28.772,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,23,1111,216,16246,976,89,212,203,41.197,73.112,no,strong,0.242737,18.000,34.000,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,24,1221,571,2822,1182,523,66,78,21.194,117.106,no,strong,0.236026,24.000,21.194,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,25,1475,426,9,1475,426,9,9,22.591,110.222,no,strong,0.230123,24.000,22.591,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,26,1109,362,16546,1043,252,150,244,29.960,75.363,no,strong,0.228000,24.000,21.591,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,27,1840,344,31989,1824,88,96,1112,35.000,33.245,yes,strong,0.225353,18.000,21.581,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,28,1288,498,420,1260,495,29,26,26.591,84.310,no,strong,0.221440,18.000,26.591,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,29,1397,433,14,1384,433,14,14,24.378,192.786,no,strong,0.216106,18.000,24.378,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,30,1143,607,11814,1058,513,150,140,41.544,88.486,no,strong,0.191123,18.000,21.984,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,31,1038,596,4750,1005,559,82,96,29.772,64.008,no,weak,0.189906,18.000,19.591,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,32,1796,432,17,1780,432,17,17,21.991,142.353,no,weak,0.189191,18.000,21.991,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,33,1188,395,2728,1160,329,56,92,21.378,73.854,no,weak,0.187566,18.000,21.181,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,34,1156,233,19,1156,233,19,19,24.188,51.474,no,weak,0.187010,24.000,24.188,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,35,1532,567,6,1532,562,6,6,8.394,125.667,no,weak,0.183617,24.000,8.394,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,36,1085,322,16,1070,307,16,16,19.378,53.875,no,weak,0.167484,18.000,19.378,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,37,1798,494,760,1781,480,31,44,13.000,121.651,no,weak,0.162759,18.000,11.997,frst
basler_120126/Image__2026-01-12__16-32-11.bmp,basler_120126,38,942,346,335,936,329,14,44,5.794,47.934,no,weak,0.005043,42.000,5.794,fallback
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,1,1666,725,9498,1570,618,127,144,31.381,129.808,no,strong,1.000000,36.000,27.763,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,2,1457,753,21,1457,753,21,21,27.166,131.762,no,strong,0.696108,36.000,27.166,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,3,1325,681,21,1305,661,21,21,27.375,69.381,no,strong,0.498717,24.000,27.375,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,4,1353,620,22,1353,620,22,22,30.197,91.909,no,strong,0.459943,18.000,30.197,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,5,1541,714,1373,1527,670,47,57,17.791,91.034,no,strong,0.412592,18.000,16.778,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,6,1556,617,3208,1533,591,72,92,31.984,98.619,no,strong,0.411115,24.000,31.984,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,7,1569,852,9440,1493,771,121,153,39.760,127.061,no,strong,0.410397,24.000,33.169,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,8,1589,538,6,1589,538,6,6,33.197,187.167,no,strong,0.387605,42.000,33.197,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,9,1420,660,571,1404,660,24,32,30.363,113.583,no,strong,0.382181,18.000,30.363,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,10,1434,571,40550,1373,439,260,269,83.095,114.312,no,strong,0.374882,30.000,50.347,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,11,1420,468,21,1400,448,21,21,26.772,69.952,no,strong,0.371037,24.000,26.772,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,12,1335,509,14,1335,506,5,5,26.000,229.429,no,strong,0.370067,18.000,26.000,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,13,965,429,15037,859,317,197,169,44.969,61.686,no,strong,0.364716,18.000,30.994,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,14,1540,756,5381,1491,701,86,110,35.797,106.501,no,strong,0.354270,18.000,28.797,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,15,1279,765,28,1265,752,15,14,22.000,56.786,no,strong,0.337174,36.000,22.000,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,16,1496,632,1,1496,632,1,1,22.000,255.000,no,strong,0.326642,24.000,22.000,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,17,1303,627,6,1302,627,3,3,28.000,180.000,no,strong,0.312554,18.000,28.000,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,18,1523,900,30,1513,891,11,11,11.000,120.500,no,strong,0.309947,24.000,11.000,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,19,1229,617,68164,1143,396,367,417,50.594,95.882,no,strong,0.308587,18.000,34.591,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,20,1745,478,4803,1701,430,138,77,25.788,148.058,no,strong,0.300883,18.000,17.984,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,21,1109,363,17455,1045,252,148,244,31.772,77.627,no,strong,0.280668,24.000,21.394,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,22,1280,479,5,1276,479,5,5,31.394,47.400,no,strong,0.271774,24.000,31.394,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,23,1363,766,398,1348,766,27,25,21.775,108.367,no,strong,0.263744,18.000,21.775,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,24,1614,775,2552,1588,717,56,82,20.591,135.598,no,strong,0.254740,18.000,20.591,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,25,1522,526,16,1522,511,16,16,27.772,125.188,no,weak,0.251197,18.000,27.772,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,26,1127,617,3148,1101,590,67,77,23.369,70.894,no,weak,0.223098,18.000,19.378,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,27,1085,321,16,1070,306,16,16,18.394,55.438,no,weak,0.219210,18.000,18.394,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,28,1170,660,4,1167,657,4,4,20.591,51.500,no,weak,0.215171,18.000,20.591,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,29,1232,453,4,1229,450,4,4,17.591,64.000,no,weak,0.163189,18.000,17.591,frst
basler_120126/Image__2026-01-12__16-32-40.bmp,basler_120126,30,1806,439,2106,1767,420,76,42,19.378,179.258,no,weak,0.158874,18.000,19.181,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,1,1666,733,17,1666,733,17,17,22.969,91.588,no,strong,1.000000,24.000,22.969,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,2,1457,753,21,1457,753,21,21,27.166,132.000,no,strong,0.861489,36.000,27.166,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,3,1326,681,22,1305,660,22,22,27.978,69.273,no,strong,0.543922,24.000,27.978,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,4,1802,605,4698,1770,576,84,92,30.378,138.242,no,strong,0.520045,24.000,22.197,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,5,1764,659,16821,1573,614,225,149,39.975,120.410,no,strong,0.510669,18.000,27.591,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,6,1570,852,9453,1492,770,122,154,39.760,127.258,no,strong,0.495464,24.000,32.372,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,7,1353,620,22,1353,620,22,22,30.197,92.045,no,strong,0.473037,18.000,30.197,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,8,1545,715,12,1545,715,12,12,14.581,83.333,no,strong,0.449163,18.000,14.581,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,9,1434,571,40282,1370,438,235,267,82.901,108.643,no,strong,0.431410,30.000,50.357,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,10,1593,538,3747,1547,496,86,77,29.000,165.706,no,strong,0.425916,36.000,21.378,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,11,1541,758,34704,1195,657,382,156,50.594,99.043,no,strong,0.425907,18.000,28.581,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,12,1553,615,25,1529,615,25,25,31.769,78.080,no,strong,0.420793,24.000,31.769,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,13,1279,765,28,1265,752,15,14,22.000,56.893,no,strong,0.410545,36.000,22.000,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,14,1419,467,21,1399,447,21,21,25.372,71.952,no,strong,0.404602,24.000,25.372,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,15,1334,508,15,1334,506,5,5,27.000,239.333,no,strong,0.392247,18.000,27.000,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,16,1420,660,561,1405,660,23,33,30.363,115.294,no,strong,0.390024,18.000,30.363,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,17,1177,616,22,1156,595,22,22,28.166,47.636,no,strong,0.371641,18.000,28.166,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,18,1304,628,3,1304,628,3,3,26.394,189.000,no,strong,0.363651,24.000,26.394,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,19,1522,901,9,1514,893,9,9,10.197,137.889,no,strong,0.353355,24.000,10.197,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,20,1496,631,4,1493,631,4,4,21.591,255.000,no,strong,0.347030,24.000,21.591,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,21,1745,478,6820,1701,420,143,87,25.788,158.434,no,strong,0.320628,18.000,17.984,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,22,1229,619,24681,1108,551,273,145,54.529,87.512,no,strong,0.311838,24.000,36.591,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,23,1280,480,17960,1208,401,186,179,48.560,100.987,no,strong,0.311287,24.000,37.347,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,24,1109,363,17594,1045,252,148,244,29.969,77.539,no,strong,0.308570,24.000,21.394,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,25,1522,524,14,1522,511,14,14,25.772,101.357,no,weak,0.291039,18.000,25.772,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,26,1362,766,31,1347,766,16,16,21.000,100.645,no,weak,0.287320,24.000,21.000,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,27,1614,775,2167,1589,728,51,71,20.591,126.602,no,weak,0.267322,24.000,20.591,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,28,1086,322,17,1070,306,17,17,19.591,55.059,no,weak,0.254377,18.000,19.591,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,29,1648,671,16,1648,656,16,16,21.797,81.562,no,weak,0.252725,24.000,21.797,frst
basler_120126/Image__2026-01-12__16-32-51.bmp,basler_120126,30,1126,616,960,1103,590,40,43,19.578,79.702,no,weak,0.245506,18.000,19.394,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,1,1688,902,20,1669,883,20,20,28.000,42.100,no,strong,1.000000,30.000,28.000,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,2,1741,462,7,1735,456,7,7,26.788,67.000,no,strong,0.720942,24.000,26.788,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,3,1675,489,26,1650,489,26,26,34.984,57.692,no,strong,0.639785,30.000,34.984,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,4,1395,1076,10,1395,1076,10,10,22.575,35.900,no,strong,0.632917,30.000,22.575,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,5,1730,295,16,1715,295,16,16,21.797,30.000,no,strong,0.628190,18.000,21.797,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,6,1000,661,22,979,661,22,22,28.166,50.500,no,strong,0.604092,24.000,28.166,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,7,1818,294,17,1802,278,17,17,23.772,40.647,no,strong,0.598918,24.000,23.772,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,8,1374,568,8,1374,561,8,8,23.378,47.875,no,strong,0.507262,18.000,23.378,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,9,1806,794,19,1788,794,19,19,24.769,48.421,no,strong,0.507000,24.000,24.769,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,10,1073,1025,478,1047,1009,27,33,21.394,56.042,no,strong,0.485115,18.000,21.394,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,11,843,487,30306,757,387,218,224,68.591,76.335,no,strong,0.482860,30.000,42.991,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,12,1378,1158,3080,1287,1134,92,66,33.363,82.394,yes,strong,0.477127,30.000,33.363,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,13,1341,709,27,1332,708,10,10,25.000,34.481,no,strong,0.475483,18.000,25.000,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,14,1889,76,14,1876,63,14,14,27.363,82.286,no,strong,0.470651,24.000,27.363,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,15,1751,91,28,1751,64,28,28,43.163,160.929,no,strong,0.470157,18.000,43.163,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,16,1702,1002,2,1701,1001,2,2,32.197,238.000,no,strong,0.466536,30.000,32.197,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,17,989,347,52587,746,110,334,338,69.772,82.625,no,strong,0.456411,24.000,61.119,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,18,1029,535,4,1026,535,4,4,34.591,53.000,no,strong,0.455532,30.000,34.591,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,19,1505,151,110148,1239,0,633,322,106.316,87.420,yes,strong,0.452491,24.000,66.394,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,20,1311,438,25,1287,414,25,25,29.560,131.360,no,strong,0.447345,18.000,29.560,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,21,1609,708,19,1591,690,19,19,35.953,122.158,no,strong,0.444095,18.000,35.953,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,22,919,505,21,919,505,21,21,28.797,130.095,no,strong,0.441647,18.000,28.797,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,23,1664,84,23,1642,62,23,23,30.560,56.522,no,strong,0.437836,24.000,30.560,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,24,1373,150,19,1373,132,19,19,31.963,192.684,no,strong,0.437794,30.000,31.963,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,25,1195,161,16,1195,146,16,16,21.969,89.188,no,strong,0.429413,24.000,21.969,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,26,1305,548,28,1278,521,28,28,36.357,80.179,no,strong,0.429148,18.000,36.357,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,27,1006,1116,25,982,1116,25,25,30.563,60.880,no,strong,0.425146,18.000,30.563,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,28,1494,681,23,1494,659,23,23,31.597,164.478,no,strong,0.424207,24.000,31.597,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,29,1781,1130,19611,1670,1016,215,160,60.363,80.240,no,strong,0.423409,18.000,43.550,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,30,1609,139,11,1609,129,11,11,53.969,176.727,no,strong,0.418179,18.000,53.969,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,31,1706,153,7,1706,147,7,7,21.788,100.286,no,strong,0.409738,24.000,21.788,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,32,1497,552,188691,1169,41,751,634,107.000,86.914,yes,strong,0.405572,18.000,96.119,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,33,1348,66,23,1326,66,23,23,31.757,45.478,no,strong,0.402108,24.000,31.757,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,34,1247,997,25,1223,973,25,25,32.560,74.120,no,strong,0.394300,24.000,32.560,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,35,1167,398,50225,991,286,296,293,93.735,84.888,no,strong,0.393735,18.000,85.788,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,36,1204,519,32,1204,519,32,32,40.378,135.125,no,strong,0.389242,36.000,40.378,frst
basler_OldObj/Image__2025-12-29__16-02-21.bmp,basler_OldObj,37,1692,1115,80,1672,1114,21,22,23.000,37.400,no,strong,0.383401,24.000,23.000,frst
