source_relative_path,candidate_id,accepted,area_fraction,aspect_ratio,rectangularity,solidity,support_fraction,mean_gray,touches_border,score
images/20260116_155330_685.bmp,38,no,0.000187,4.0000,0.9949,0.9987,0.1965,229.536,yes,5.5805
images/20260116_155330_685.bmp,39,no,0.001813,1.8000,0.5886,0.8173,0.2595,231.227,yes,5.0991
images/20260116_155330_685.bmp,40,no,0.012831,9.5185,0.6081,0.7774,0.5397,242.903,yes,5.6893
images/20260116_155330_685.bmp,41,no,0.001829,3.9326,0.5510,0.7072,0.2349,237.606,no,4.6191
images/20260116_155330_685.bmp,42,no,0.001398,1.7936,0.4208,0.6805,0.1643,215.841,no,3.8062
images/20260116_155330_685.bmp,43,no,0.007029,2.0634,0.4190,0.5591,0.0472,222.535,no,3.4558
images/20260116_155330_685.bmp,44,no,0.001288,8.4050,0.3051,0.4807,0.0426,211.046,no,2.4218
images/20260116_155330_685.bmp,45,no,0.006897,7.0625,0.8743,0.9776,0.7645,238.548,yes,7.4597
images/20260116_155330_685.bmp,46,no,0.001868,2.1519,0.4811,0.7735,0.3300,228.539,yes,5.0278
images/20260116_155331_134.bmp,1,no,0.000002,7.0000,1.0000,1.0000,0.8750,228.786,no,5.4621
images/20260116_155331_134.bmp,2,no,0.000003,2.6000,0.3077,0.4444,1.0000,252.300,no,4.0626
images/20260116_155331_134.bmp,3,no,0.000104,2.6589,0.2591,0.4180,0.9497,247.792,no,4.4721
images/20260116_155331_134.bmp,4,no,0.018141,2.0848,0.8603,0.9681,0.8720,244.638,yes,7.5463
images/20260116_155331_134.bmp,5,no,0.000002,8.0000,1.0000,1.0000,0.5556,240.800,yes,6.3910
images/20260116_155331_134.bmp,6,no,0.000004,1.0000,0.7188,0.8846,0.6800,244.647,no,5.8100
images/20260116_155331_134.bmp,7,no,0.000005,1.2500,0.7750,0.9118,0.7333,252.591,no,6.0188
images/20260116_155331_134.bmp,8,no,0.000049,1.4167,0.6838,0.8611,0.3846,251.489,no,5.6168
images/20260116_155331_134.bmp,9,no,0.000024,1.2222,0.7071,0.9396,0.5333,252.391,no,5.9076
images/20260116_155331_134.bmp,10,no,0.000052,2.7952,0.5985,0.7896,0.6135,228.708,no,5.4345
images/20260116_155331_134.bmp,11,no,0.000029,2.7564,0.5188,0.6382,0.4645,222.514,no,5.1075
images/20260116_155331_134.bmp,12,no,0.000126,1.8235,0.3681,0.5791,0.0781,249.800,no,3.7883
images/20260116_155331_134.bmp,13,no,0.000075,3.8889,0.8016,0.8954,0.1750,236.540,no,4.9839
images/20260116_155331_134.bmp,14,no,0.000009,1.8000,0.7222,0.9123,0.7200,252.833,no,6.0350
images/20260116_155331_134.bmp,15,no,0.000051,2.4870,0.5330,0.6963,0.4472,250.455,no,5.3238
images/20260116_155331_134.bmp,16,no,0.002110,2.1554,0.4951,0.6754,0.2411,248.153,no,4.7529
images/20260116_155331_134.bmp,17,no,0.000095,1.1053,0.6529,0.9045,0.4614,252.005,no,5.7470
images/20260116_155331_134.bmp,18,no,0.000005,1.2500,0.7000,0.8750,0.7333,251.000,no,5.8270
images/20260116_155331_134.bmp,19,no,0.000021,2.2222,0.6167,0.7551,0.6121,227.000,no,5.5359
images/20260116_155331_134.bmp,20,no,0.000155,2.2151,0.5918,0.7039,0.2204,224.551,no,4.7268
images/20260116_155331_134.bmp,21,no,0.000041,1.7000,0.6824,0.8958,0.5404,251.467,no,5.9141
images/20260116_155331_134.bmp,22,no,0.000986,3.4342,0.4582,0.6036,0.3620,243.005,no,4.7220
images/20260116_155331_134.bmp,23,no,0.000238,4.5636,0.7211,0.8132,0.1298,249.331,no,4.6075
images/20260116_155331_134.bmp,24,no,0.000902,2.5876,0.4083,0.6716,0.0649,231.486,no,3.8367
images/20260116_155331_134.bmp,25,no,0.000009,1.0000,0.6944,0.9259,0.6735,224.939,no,5.7417
images/20260116_155331_134.bmp,26,no,0.000014,2.1923,0.6832,0.8901,0.7222,224.731,no,5.8023
images/20260116_155331_134.bmp,27,no,0.000046,1.3333,0.6406,0.9723,0.6606,248.747,yes,5.8194
images/20260116_155331_134.bmp,28,no,0.017266,2.1259,0.8291,0.9714,0.8876,250.125,yes,7.4324
images/20260116_155331_134.bmp,29,no,0.000060,2.5000,0.8740,0.9842,0.6399,238.262,yes,6.2628
images/20260116_155331_134.bmp,30,no,0.002168,2.2145,0.5249,0.6791,0.2340,248.153,no,4.7855
images/20260116_155331_134.bmp,31,no,0.028489,3.4171,0.5439,0.7035,0.5466,245.672,yes,5.8140
images/20260116_155331_134.bmp,32,yes,0.020554,2.3385,0.7874,0.8614,0.7603,244.647,yes,7.6184
images/20260116_155331_585.bmp,1,no,0.000000,1.0000,1.0000,1.0000,1.0000,242.500,no,6.4800
images/20260116_155331_585.bmp,2,no,0.009501,1.4817,0.7298,0.9181,0.7215,214.446,no,6.2398
images/20260116_155331_585.bmp,3,no,0.015378,1.6853,0.6453,0.8574,0.6474,233.721,no,6.5033
images/20260116_155331_585.bmp,4,no,0.001477,1.6222,0.1453,0.2233,0.0221,229.759,yes,2.1461
images/20260116_155331_585.bmp,5,no,0.000007,1.2000,0.7167,0.8958,0.7381,248.839,no,5.8656
images/20260116_155331_585.bmp,6,no,0.001479,1.8407,0.4158,0.5465,0.1549,240.333,no,4.1836
images/20260116_155331_585.bmp,7,no,0.000020,2.4000,0.7042,0.8667,0.6939,228.000,no,5.7879
images/20260116_155331_585.bmp,8,no,0.000855,1.3269,0.8007,0.9429,0.2183,245.402,no,5.4138
images/20260116_155331_585.bmp,9,no,0.000015,1.0000,0.6719,0.9247,0.6667,226.519,no,5.7012
images/20260116_155331_585.bmp,10,no,0.024422,1.8907,0.6315,0.6395,0.6622,231.506,no,7.2864
images/20260116_155331_585.bmp,11,no,0.000056,1.2628,0.5561,0.7933,0.5184,235.262,no,5.4161
images/20260116_155331_585.bmp,12,no,0.000006,1.0000,0.7600,0.9268,0.7222,225.231,no,5.8742
images/20260116_155331_585.bmp,13,no,0.000006,1.5000,0.7500,0.9000,0.7714,254.407,no,6.0130
images/20260116_155331_585.bmp,14,no,0.000600,4.3912,0.4072,0.5637,0.1673,248.543,no,3.8870
images/20260116_155331_585.bmp,15,no,0.000013,1.9167,0.7518,0.9326,0.8308,251.648,no,6.1329
images/20260116_155331_585.bmp,16,no,0.000859,1.7846,0.4014,0.6012,0.0615,248.193,no,3.9026
images/20260116_155331_585.bmp,17,no,0.000020,2.3333,0.7143,0.8759,0.6476,228.000,no,5.8310
images/20260116_155331_585.bmp,18,no,0.005989,4.2331,0.1999,0.3275,0.0264,248.424,no,2.6765
images/20260116_155331_585.bmp,19,yes,0.026396,1.8542,0.8222,0.8477,0.6393,225.886,no,7.7424
images/20260116_155332_035.bmp,1,no,0.005327,1.2708,0.5294,0.8225,0.5341,193.790,no,5.4448
images/20260116_155332_035.bmp,2,no,0.000113,1.6471,0.6355,0.8923,0.7280,212.945,no,5.6894
images/20260116_155332_035.bmp,3,no,0.019054,1.3875,0.4833,0.6149,0.4849,219.539,no,5.9178
images/20260116_155332_035.bmp,4,no,0.000001,3.0000,0.3333,0.4000,0.6364,124.571,no,3.7486
images/20260116_155332_035.bmp,5,no,0.000033,5.6000,0.2643,0.4205,0.1379,158.667,no,2.9668
images/20260116_155332_035.bmp,6,no,0.000010,1.1667,0.7262,0.9242,0.6786,216.395,no,5.8057
images/20260116_155332_035.bmp,7,no,0.000403,1.3056,0.3005,0.4925,0.0997,244.729,no,3.5699
images/20260116_155332_035.bmp,8,no,0.007969,1.5735,0.2695,0.3389,0.3953,199.626,no,4.4903
images/20260116_155332_035.bmp,9,no,0.011896,1.0694,0.5779,0.6930,0.6266,233.016,no,5.7019
images/20260116_155332_035.bmp,10,no,0.000008,2.0000,0.8594,0.9483,0.7333,248.303,no,6.3310
images/20260116_155332_035.bmp,11,no,0.000004,1.0000,0.8125,0.9286,0.6800,246.882,no,6.0485
images/20260116_155332_035.bmp,12,no,0.000102,2.8926,0.6035,0.7607,0.5974,239.204,no,5.4383
images/20260116_155332_035.bmp,13,no,0.000036,4.0769,0.7009,0.8281,0.7167,220.612,no,5.4991
images/20260116_155332_035.bmp,14,no,0.000049,2.4898,0.5870,0.8316,0.6128,230.562,no,5.5128
images/20260116_155332_035.bmp,15,no,0.000328,5.0982,0.2542,0.3824,0.1033,235.677,no,3.0993
images/20260116_155332_035.bmp,16,no,0.000004,1.0000,0.7188,0.8846,0.6800,246.235,no,5.8150
images/20260116_155332_035.bmp,17,no,0.000068,10.7470,0.3232,0.3358,0.1905,249.781,no,3.3972
images/20260116_155332_035.bmp,18,no,0.000005,1.2500,0.7000,0.8750,0.7333,248.273,no,5.8185
images/20260116_155332_035.bmp,19,no,0.000026,1.6552,0.7331,0.9290,0.7422,250.779,no,6.0345
images/20260116_155332_035.bmp,20,no,0.000015,2.6364,0.6505,0.8218,0.6543,249.811,no,5.6585
images/20260116_155332_035.bmp,21,no,0.000370,1.2149,0.4204,0.6921,0.3165,247.183,no,4.6723
images/20260116_155332_035.bmp,22,no,0.000982,1.8934,0.2917,0.4367,0.0654,230.877,no,3.5111
images/20260116_155332_035.bmp,23,no,0.000056,1.3846,0.6923,0.8926,0.3346,242.573,no,5.4756
images/20260116_155332_035.bmp,24,no,0.000013,1.5000,0.7685,0.9326,0.6857,213.396,no,5.9553
images/20260116_155332_035.bmp,25,no,0.000011,1.3333,0.7396,0.9342,0.7460,249.574,no,5.9781
images/20260116_155332_035.bmp,26,no,0.004482,2.2912,0.4893,0.6372,0.0757,232.751,no,3.5350
images/20260116_155332_035.bmp,27,no,0.000013,1.1429,0.8036,0.9474,0.8056,253.983,no,6.0977
images/20260116_155332_035.bmp,28,yes,0.027614,1.6933,0.7785,0.8435,0.4303,217.261,no,7.5949
images/20260116_155332_035.bmp,29,no,0.000029,1.2000,0.8083,0.9652,0.6643,250.779,no,6.1270
images/20260116_155332_035.bmp,30,no,0.000020,1.7143,0.7560,0.9270,0.5096,249.811,no,6.0885
images/20260116_155332_035.bmp,31,no,0.018463,2.9632,0.2546,0.3403,0.0240,231.666,no,3.5532
images/20260116_155332_035.bmp,32,no,0.026011,1.8760,0.7785,0.8010,0.4704,213.726,no,7.5926
images/20260116_155332_035.bmp,33,no,0.000014,3.8750,0.3692,0.4773,0.3529,207.250,no,3.7490
images/20260116_155332_035.bmp,34,no,0.004750,2.1620,0.5079,0.6780,0.0724,231.751,no,4.2074
images/20260116_155332_917.bmp,1,no,0.000128,1.1008,0.3861,0.5104,0.2080,236.714,no,4.0196
images/20260116_155332_917.bmp,2,no,0.000541,1.2857,0.7736,0.9268,0.7526,177.535,no,5.8310
images/20260116_155332_917.bmp,3,no,0.026499,1.8362,0.7771,0.9047,0.7963,244.737,no,7.7739
images/20260116_155332_917.bmp,4,no,0.000060,1.7500,0.5873,0.8043,0.4196,242.658,no,5.5243
images/20260116_155332_917.bmp,5,no,0.002349,1.6617,0.3406,0.4541,0.0606,239.491,no,3.6301
images/20260116_155332_917.bmp,6,yes,0.024730,1.8717,0.8459,0.9457,0.8174,251.149,no,8.0922
images/20260116_155332_917.bmp,7,no,0.000047,5.5000,0.6793,0.8302,0.1429,248.706,no,4.5108
images/20260116_155332_917.bmp,8,no,0.000013,2.2727,0.6818,0.8929,0.6184,249.170,no,5.8611
images/20260116_155332_917.bmp,9,no,0.000007,1.2000,0.7667,0.9200,0.6905,222.138,no,5.9060
images/20260116_155332_917.bmp,10,no,0.000060,3.1111,0.5615,0.7587,0.4759,251.594,no,5.3552
images/20260116_155332_917.bmp,11,no,0.024757,1.8644,0.8466,0.9467,0.8195,250.512,no,8.0850
images/20260116_155333_375.bmp,1,no,0.000000,1.0000,1.0000,1.0000,1.0000,203.750,no,6.3584
images/20260116_155333_375.bmp,2,no,0.026355,1.8604,0.9749,0.9890,0.9737,245.713,no,8.2498
images/20260116_155333_375.bmp,3,no,0.000014,2.0000,0.5208,0.6250,0.4815,220.154,no,4.6692
images/20260116_155333_375.bmp,4,no,0.000026,2.3562,0.5940,0.7586,0.6949,253.439,no,5.5492
images/20260116_155333_375.bmp,5,no,0.000042,1.4545,0.7216,0.9104,0.7304,252.973,no,5.9570
images/20260116_155333_375.bmp,6,yes,0.024481,1.9080,0.9847,0.9939,0.9984,253.423,no,8.4392
images/20260116_155333_375.bmp,7,no,0.000007,1.5000,0.6833,0.8913,0.6512,253.250,no,5.5348
images/20260116_155333_375.bmp,8,no,0.000049,5.6667,0.9608,0.9899,0.1551,219.526,yes,5.3303
