annotation_id,source_relative_path,source_group,selected_from_mode,selection_order,width,height,channels,mean,std,entropy,edge_density,label_status,pixels_background,pixels_candy_core,pixels_sticker,mask_relative_path,metadata_relative_path
11,basler_tstRGB/RGB_red_E100000.bmp,basler_tstRGB,raw,11,1920,1200,1,47.488013333333335,24.389259992596923,6.335055828094482,0.017361111111111112,complete,405622,114489,0,pixel_masks/basler_tstRGB/RGB_red_E100000.png,metadata/basler_tstRGB/RGB_red_E100000.json
12,basler_tstRGB/RGB_white_E100000.bmp,basler_tstRGB,raw,12,1920,1200,1,233.92432555555555,40.83327103451863,3.400596857070923,0.024725555555555556,complete,725497,103418,0,pixel_masks/basler_tstRGB/RGB_white_E100000.png,metadata/basler_tstRGB/RGB_white_E100000.json
13,images/20260116_161318_698.bmp,images,raw,13,2048,2048,3,77.77849922839506,19.042775109179743,5.290708065032959,0.000939429012345679,complete,930749,14140,10884,pixel_masks/images/20260116_161318_698.png,metadata/images/20260116_161318_698.json
14,images/20260116_163011_675.bmp,images,raw,14,2048,2048,3,66.41342206790124,29.051650278276846,6.56494665145874,0.0706153549382716,complete,883172,564841,0,pixel_masks/images/20260116_163011_675.png,metadata/images/20260116_163011_675.json
15,images/20260116_163533_290.bmp,images,raw,15,2048,2048,3,62.82317322530864,34.568070812739776,6.761125564575195,0.1188425925925926,complete,728442,1038426,16073,pixel_masks/images/20260116_163533_290.png,metadata/images/20260116_163533_290.json
16,images/20260116_163948_436.bmp,images,raw,16,2048,2048,3,76.70892554012346,35.82113191012238,6.233709335327148,0.04304976851851852,complete,742443,346888,93160,pixel_masks/images/20260116_163948_436.png,metadata/images/20260116_163948_436.json
17,images/20260116_155328_028.bmp,images,raw,1,2048,2048,3,82.55431180555556,32.6856854321922,5.4217915534973145,0.0005513888888888889,complete,870246,0,105636,pixel_masks/images/20260116_155328_028.png,metadata/images/20260116_155328_028.json
18,images/20260116_155330_685.bmp,images,raw,2,2048,2048,3,72.60295555555555,28.524863426262247,6.139401435852051,0.03313055555555556,complete,742648,358040,21604,pixel_masks/images/20260116_155330_685.png,metadata/images/20260116_155330_685.json
19,images/20260116_155331_134.bmp,images,raw,3,2048,2048,3,73.72168819444444,33.85994731422691,6.144042491912842,0.03239305555555556,complete,1234286,301607,64804,pixel_masks/images/20260116_155331_134.png,metadata/images/20260116_155331_134.json
20,images/20260116_155331_585.bmp,images,raw,4,2048,2048,3,76.96979375,31.765592946163462,6.099906921386719,0.030260416666666668,complete,555979,259574,66473,pixel_masks/images/20260116_155331_585.png,metadata/images/20260116_155331_585.json
21,images/20260116_155332_035.bmp,images,raw,5,2048,2048,3,71.93233680555555,29.05792115944952,6.2902655601501465,0.0266875,complete,738581,170838,39292,pixel_masks/images/20260116_155332_035.png,metadata/images/20260116_155332_035.json
22,images/20260116_155332_917.bmp,images,raw,6,2048,2048,3,79.92953541666667,31.748178480439297,5.670458793640137,0.009589583333333334,complete,536853,86311,83661,pixel_masks/images/20260116_155332_917.png,metadata/images/20260116_155332_917.json
23,images/20260116_155333_375.bmp,images,raw,7,2048,2048,3,80.49014236111111,33.658685151982525,5.610922336578369,0.007234027777777778,complete,504446,78349,103979,pixel_masks/images/20260116_155333_375.png,metadata/images/20260116_155333_375.json
24,images/20260116_155334_706.bmp,images,raw,8,2048,2048,3,75.33589891975309,24.26479717187539,5.809637546539307,0.013271604938271606,complete,794281,147876,25791,pixel_masks/images/20260116_155334_706.png,metadata/images/20260116_155334_706.json
25,basler_120126/Image__2026-01-12__16-31-10.bmp,basler_120126,raw,1,1920,1200,1,106.4323611111111,86.57447048949399,7.040414810180664,0.024576666666666667,complete,432002,99111,0,pixel_masks/basler_120126/Image__2026-01-12__16-31-10.png,metadata/basler_120126/Image__2026-01-12__16-31-10.json
26,basler_OldObj/Image__2025-12-29__16-04-24.bmp,basler_OldObj,raw,2,1920,1200,1,124.97672777777778,43.20771190891358,7.28035831451416,0.003321111111111111,complete,493961,14952,0,pixel_masks/basler_OldObj/Image__2025-12-29__16-04-24.png,metadata/basler_OldObj/Image__2025-12-29__16-04-24.json
27,basler_OldObj/Image__2025-12-29__16-04-32.bmp,basler_OldObj,raw,3,1920,1200,1,124.6371811111111,43.18111767387426,7.283661842346191,0.004104444444444444,complete,375328,20933,0,pixel_masks/basler_OldObj/Image__2025-12-29__16-04-32.png,metadata/basler_OldObj/Image__2025-12-29__16-04-32.json
